date,value
2016-01-19,11.57
2016-01-20,11.58
2016-01-21,11.49
2016-01-22,11.56
2016-01-23,12.71
2016-01-24,12.12
2016-01-25,11.5
2016-01-26,12.57
2016-01-27,11.64
2016-01-28,11.51
2016-01-29,11.08
2016-01-30,12.87
2016-01-31,11.81
2016-02-01,12.32
2016-02-02,11.48
2016-02-03,11.44
2016-02-04,11.27
2016-02-05,11.5
2016-02-06,13.14
2016-02-07,13.88
2016-02-08,11.2
2016-02-09,11.15
2016-02-10,11.19
2016-02-11,11.22
2016-02-12,11.47
2016-02-13,11.97
2016-02-14,12.41
2016-02-15,11.57
2016-02-16,11.17
2016-02-17,11.22
2016-02-18,11.16
2016-02-19,11.15
2016-02-20,13.34
2016-02-21,12.46
2016-02-22,12.25
2016-02-23,11.19
2016-02-24,11.2
2016-02-25,11.27
2016-02-26,11.36
2016-02-27,11.45
2016-02-28,12.76
2016-02-29,11.73
2016-03-01,11.46
2016-03-02,11.57
2016-03-03,11.72
2016-03-04,11.42
2016-03-05,12.2
2016-03-06,12.43
2016-03-07,12.57
2016-03-08,11.36
2016-03-09,11.41
2016-03-10,11.59
2016-03-11,11.99
2016-03-12,11.74
2016-03-13,12.35
2016-03-14,12.25
2016-03-15,11.81
2016-03-16,12.03
2016-03-17,12.1
2016-03-18,12.2
2016-03-19,12.09
2016-03-20,12.35
2016-03-21,11.09
2016-03-22,12.21
2016-03-23,14.03
2016-03-24,14.53
2016-03-25,13.24
2016-03-26,13.16
2016-03-27,13.8
2016-03-28,12.37
2016-03-29,12.14
2016-03-30,12.21
2016-03-31,12.37
2016-04-01,12.5
2016-04-02,12.74
2016-04-03,12.98
2016-04-04,12.29
2016-04-05,13.05
2016-04-06,12.23
2016-04-07,12.4
2016-04-08,12.93
2016-04-09,12.75
2016-04-10,12.85
2016-04-11,11.85
2016-04-12,11.65
2016-04-13,12.12
2016-04-14,12.3
2016-04-15,13.23
2016-04-16,13.14
2016-04-17,13.34
2016-04-18,12.51
